BLTH;NAMA GARDU;prabayar;;;paska;;;total;;;kapasitas;tanggal pengukuran;beban;% pembebanan;Kategori HI
;;daya;transaksi;kwh;daya;plg;kwh;daya tersambung total (kVa);Jumlah Pelanggan tersambung total;kWh Jual;;;;;
;;;;;;;;;;;;;;;
Mar-23;BD989;752600;351;41191,9;2200;1;844;754800;352;42035,9;200;20/3/2023;76,612;38%;Baik
Mar-23;BD997;18300;8;546,4;95300;4;13770;113600;12;14316,4;100;30/3/2023;30,811;31%;Baik
Mar-23;BE045;0;0;0;105000;1;10486;105000;1;10486;100;27/3/2023;31,128;31%;Baik
Mar-23;BE046;0;0;0;105000;1;10750;105000;1;10750;100;28/3/2023;31,553;32%;Baik
Mar-23;BE086;21500;25;1163,5;49500;139;20245;71000;164;21408,5;100;29/3/2023;58,424;58%;Baik
Mar-23;BE1000;437200;154;25936,9;140600;131;61110;577800;285;87046,9;250;29/3/2023;95,497;38%;Baik
Mar-23;BE1011;0;0;0;82500;1;13616;82500;1;13616;100;27/3/2023;36,347;36%;Baik
Mar-23;BE1019;319400;125;13448,6;75350;100;32619;394750;225;46067,6;160;29/3/2023;103,161;64%;Cukup
Mar-23;BE102;518250;411;28613,7;126000;149;39405;644250;560;68018,7;160;29/3/2023;74,778;47%;Baik
Mar-23;BE1020;438500;200;28553,8;62050;121;34979;500550;321;63532,8;160;29/3/2023;137,237;86%;Kurang
Mar-23;BE1021;8000;8;888,3;8300;7;1401;16300;15;2289,3;100;29/3/2023;65,275;65%;Cukup
Mar-23;BE1033;0;0;0;105000;1;32653;105000;1;32653;160;27/3/2023;68,286;43%;Baik
Mar-23;BE1037;0;0;0;53000;1;5438;53000;1;5438;160;29/3/2023;32,523;20%;Baik
Mar-23;BE1039;10100;3;1153,9;213200;10;13055;223300;13;14208,9;200;29/3/2023;103,829;52%;Baik
Mar-23;BE1044;559500;657;29135,6;121050;126;30771;680550;783;59906,6;160;23/3/2023;116,633;73%;Cukup
Mar-23;BE1062;348800;184;23722,6;75100;95;28889;423900;279;52611,6;100;29/3/2023;63,842;64%;Cukup
Mar-23;BE1066;0;0;0;53000;1;9423;53000;1;9423;100;27/3/2023;25,994;26%;Baik
Mar-23;BE1087;68200;15;5514,4;38500;9;3940;106700;24;9454,4;100;27/3/2023;52,891;53%;Baik
Mar-23;BE109;0;0;0;33000;1;12375;33000;1;12375;50;29/3/2023;0,927;2%;Baik
Mar-23;BE1102;364300;155;29594,3;95470;31;21269;459770;186;50863,3;100;29/3/2023;27,127;27%;Baik
Mar-23;BE1119;89100;17;3406,5;44700;12;6377;133800;29;9783,5;100;24/3/2023;43,298;43%;Baik
Mar-23;BE1120;314550;425;23027,2;132800;196;42142;447350;621;65169,2;160;27/3/2023;96,563;60%;Cukup
Mar-23;BE1144;0;0;0;82500;1;10747;82500;1;10747;100;27/3/2023;35,077;35%;Baik
Mar-23;BE1147;79200;18;2299,1;42000;9;3278;121200;27;5577,1;100;27/3/2023;31,958;32%;Baik
Mar-23;BE1153;0;0;0;119000;3;12312;119000;3;12312;100;24/3/2023;33,275;33%;Baik
Mar-23;BE1158;0;0;0;53000;1;1795;53000;1;1795;50;16/3/2023;30,67;61%;Cukup
Mar-23;BE1170;481400;464;23400,9;86350;187;48167;567750;651;71567,9;160;28/3/2023;77,829;49%;Baik
Mar-23;BE1172;4400;2;256,4;69200;5;15474;73600;7;15730,4;100;20/3/2023;61,57;62%;Cukup
Mar-23;BE1174;344850;270;18685,9;91250;129;28999;436100;399;47684,9;160;23/3/2023;97,819;61%;Cukup
Mar-23;BE1189;245200;105;22447;91080;127;42531;336280;232;64978;200;28/3/2023;94,826;47%;Baik
Mar-23;BE1196;91500;27;5495,3;18700;37;22601;110200;64;28096,3;200;23/3/2023;52,91;26%;Baik
Mar-23;BE1197;32850;41;1858,1;31050;130;15907;63900;171;17765,1;160;29/3/2023;91,569;57%;Baik
Mar-23;BE1198;44850;57;4520,1;43750;117;16957;88600;174;21477,1;160;29/3/2023;90,612;57%;Baik
Mar-23;BE1200;0;0;0;105000;1;19662;105000;1;19662;160;27/3/2023;71,98;45%;Baik
Mar-23;BE1206;147000;21;5136;158600;15;18683;305600;36;23819;100;27/3/2023;63,058;63%;Cukup
Mar-23;BE1211;414100;190;31057,4;90350;64;25005;504450;254;56062,4;160;28/3/2023;74,928;47%;Baik
Mar-23;BE1220;0;0;0;66000;1;2640;66000;1;2640;100;14/3/2023;38,102;38%;Baik
Mar-23;BE1249;2200;1;320,5;12500;7;4740;14700;8;5060,5;160;29/3/2023;99,348;62%;Cukup
Mar-23;BE1250;220000;80;13580,8;47000;42;17853;267000;122;31433,8;200;29/3/2023;99,105;50%;Baik
Mar-23;BE1261;228600;40;11259,8;291700;45;51798;520300;85;63057,8;250;24/3/2023;94,101;38%;Baik
Mar-23;BE1263;0;0;0;82500;1;10095;82500;1;10095;100;29/3/2023;26,716;27%;Baik
Mar-23;BE1273;216600;71;16571,3;91900;66;32119;308500;137;48690,3;200;29/3/2023;140,031;70%;Cukup
Mar-23;BE1274;690800;272;50970,1;207600;2;20343;898400;274;71313,1;200;17/3/2023;71,137;36%;Baik
Mar-23;BE1300;487050;391;29732,6;167200;234;52241;654250;625;81973,6;160;29/3/2023;113,937;71%;Cukup
Mar-23;BE1305;240850;306;15864,8;54950;123;21932;295800;429;37796,8;160;16/3/2023;63,668;40%;Baik
Mar-23;BE1321;0;0;0;41500;1;3454;41500;1;3454;100;24/3/2023;9,453;9%;Baik
Mar-23;BE1322;0;0;0;105900;2;6354;105900;2;6354;200;17/3/2023;32,656;16%;Baik
Mar-23;BE1327;0;0;0;41500;1;1660;41500;1;1660;50;24/3/2023;10,354;21%;Baik
Mar-23;BE1337;282500;82;23206;64920;27;25345;347420;109;48551;200;29/3/2023;76,878;38%;Baik
Mar-23;BE1340;163900;54;9630,1;40700;56;21905;204600;110;31535,1;200;29/3/2023;84,31;42%;Baik
Mar-23;BE1341;0;0;0;66000;1;3255;66000;1;3255;200;29/3/2023;16,794;8%;Baik
Mar-23;BE1344;195900;96;8134,3;11400;24;6764;207300;120;14898,3;100;29/3/2023;42,999;43%;Baik
Mar-23;BE1349;88600;89;3925,3;13100;26;6509;101700;115;10434,3;50;23/3/2023;17,478;35%;Baik
Mar-23;BE1355;158900;56;8111,3;30800;26;12138;189700;82;20249,3;100;29/3/2023;6,459;6%;Baik
Mar-23;BE1356;96100;34;6336,8;22200;23;8543;118300;57;14879,8;100;29/3/2023;58,898;59%;Baik
Mar-23;BE1370;349300;349;18662,5;62300;123;22494;411600;472;41156,5;100;24/3/2023;71,945;72%;Cukup
Mar-23;BE1373;775950;816;37199,1;107400;246;41845;883350;1062;79044,1;160;23/3/2023;140,978;88%;Kurang
Mar-23;BE1375;0;0;0;197000;1;24807;197000;1;24807;250;14/3/2023;90,158;36%;Baik
Mar-23;BE1380;148500;37;9069,4;27500;6;2797;176000;43;11866,4;200;29/3/2023;43,475;22%;Baik
Mar-23;BE1381;0;0;0;11900;2;2367;11900;2;2367;100;23/3/2023;31,513;32%;Baik
Mar-23;BE1392;0;0;0;197000;1;5049;197000;1;5049;200;17/3/2023;42,032;21%;Baik
Mar-23;BE1403;0;0;0;38100;6;7737;38100;6;7737;100;29/3/2023;24,807;25%;Baik
Mar-23;BE1405;129300;74;7381,8;32500;13;4058;161800;87;11439,8;200;24/3/2023;25,303;13%;Baik
Mar-23;BE1407;162200;164;10319,2;67500;139;20608;229700;303;30927,2;100;27/3/2023;49,224;49%;Baik
Mar-23;BE1408;0;0;0;66000;1;2640;66000;1;2640;200;14/3/2023;42,298;21%;Baik
Mar-23;BE1410;234900;244;19759,7;3100;13;2341;238000;257;22100,7;160;24/3/2023;54,941;34%;Baik
Mar-23;BE1417;101300;23;7230,4;56000;4;11174;157300;27;18404,4;100;24/3/2023;39,359;39%;Baik
Mar-23;BE1434;0;0;0;82500;1;23687;82500;1;23687;100;24/3/2023;31,134;31%;Baik
Mar-23;BE1435;256500;180;13802,4;7700;1;964;264200;181;14766,4;50;23/3/2023;62,317;125%;Buruk
Mar-23;BE1448;311300;64;12974,2;165500;11;22974;476800;75;35948,2;200;27/3/2023;38,183;19%;Baik
Mar-23;BE1450;0;0;0;147000;1;15570;147000;1;15570;160;24/3/2023;27,152;17%;Baik
Mar-23;BE1456;0;0;0;131000;1;11357;131000;1;11357;160;27/3/2023;33,838;21%;Baik
Mar-23;BE1466;174500;15;4559,7;259800;35;31934;434300;50;36493,7;160;29/3/2023;60,071;38%;Baik
Mar-23;BE1489;120500;49;8631,8;65800;65;20007;186300;114;28638,8;100;27/3/2023;45,085;45%;Baik
Mar-23;BE1493;5400;6;304,6;177260;10;24783;182660;16;25087,6;100;24/3/2023;30,712;31%;Baik
Mar-23;BE1496;155600;64;8507,5;69400;81;25143;225000;145;33650,5;160;29/3/2023;66,493;42%;Baik
Mar-23;BE1501;164700;79;7925,6;191050;61;31716;355750;140;39641,6;100;29/3/2023;64,796;65%;Cukup
Mar-23;BE1503;0;0;0;105000;1;10981;105000;1;10981;160;24/3/2023;25,96;16%;Baik
Mar-23;BE1505;72200;45;6670,7;159600;23;17350;231800;68;24020,7;100;24/3/2023;33,319;33%;Baik
Mar-23;BE1522;503700;128;28814,5;10600;1;598;514300;129;29412,5;160;29/3/2023;52,688;33%;Baik
Mar-23;BE1524;119500;25;9427,8;40200;3;6479;159700;28;15906,8;100;27/3/2023;32,418;32%;Baik
Mar-23;BE1528;0;0;0;53000;1;7623;53000;1;7623;100;24/3/2023;22,335;22%;Baik
Mar-23;BE1529;396400;283;24757,7;155850;63;30831;552250;346;55588,7;100;29/3/2023;65,198;65%;Cukup
Mar-23;BE155;14800;6;284,4;76700;12;9728;91500;18;10012,4;100;27/3/2023;58,551;59%;Baik
Mar-23;BE1555;245900;211;9920,4;21700;45;9922;267600;256;19842,4;100;29/3/2023;62,126;62%;Cukup
Mar-23;BE1563;313200;240;13787,3;89000;109;23597;402200;349;37384,3;100;24/3/2023;69,463;69%;Cukup
Mar-23;BE1576;450800;177;36009;14100;2;1198;464900;179;37207;100;27/3/2023;57,369;57%;Baik
Mar-23;BE1589;0;0;0;82500;1;9680;82500;1;9680;100;14/3/2023;36,659;37%;Baik
Mar-23;BE1592;367800;303;26652,6;9200;3;908;377000;306;27560,6;160;23/3/2023;41,644;26%;Baik
Mar-23;BE1594;332250;176;13607,5;68300;68;24868;400550;244;38475,5;160;28/3/2023;102,054;64%;Cukup
Mar-23;BE1597;171300;46;9870,1;59500;42;18979;230800;88;28849,1;100;27/3/2023;47,929;48%;Baik
Mar-23;BE1598;127600;10;2623,6;92300;9;15342;219900;19;17965,6;100;24/3/2023;62,203;62%;Cukup
Mar-23;BE1601;0;0;0;66000;1;6250;66000;1;6250;100;17/3/2023;16,108;16%;Baik
Mar-23;BE1612;355400;312;29132,6;6600;2;874;362000;314;30006,6;160;24/3/2023;39,596;25%;Baik
Mar-23;BE1628;0;0;0;41500;1;7054;41500;1;7054;100;24/3/2023;40,949;41%;Baik
Mar-23;BE1648;0;0;0;197000;1;13622;197000;1;13622;200;27/3/2023;14,679;7%;Baik
Mar-23;BE1660;0;0;0;105000;1;4416;105000;1;4416;160;16/3/2023;18,505;12%;Baik
Mar-23;BE1665;0;0;0;105000;1;14243;105000;1;14243;160;17/3/2023;44,896;28%;Baik
Mar-23;BE1674;90400;24;5838,2;27100;2;4477;117500;26;10315,2;100;29/3/2023;54,128;54%;Baik
Mar-23;BE1676;34450;37;2050,1;161200;37;24773;195650;74;26823,1;100;29/3/2023;28,508;29%;Baik
Mar-23;BE1689;0;0;0;66000;1;6828;66000;1;6828;100;28/3/2023;37,464;37%;Baik
Mar-23;BE1691;0;0;0;1467500;2;161110;1467500;2;161110;100;24/3/2023;29,74;30%;Baik
Mar-23;BE1709;0;0;0;41500;1;1660;41500;1;1660;100;23/3/2023;3,039;3%;Baik
Mar-23;BE1726;0;0;0;53000;1;5996;53000;1;5996;100;24/3/2023;24,389;24%;Baik
Mar-23;BE1729;0;0;0;66000;1;7761;66000;1;7761;100;24/3/2023;30,202;30%;Baik
Mar-23;BE1754;0;0;0;53000;1;4321;53000;1;4321;160;24/3/2023;27,137;17%;Baik
Mar-23;BE1756;0;0;0;164000;1;8306;164000;1;8306;160;24/3/2023;25,986;16%;Baik
Mar-23;BE1759;0;0;0;164000;1;15459;164000;1;15459;200;24/3/2023;10,354;5%;Baik
Mar-23;BE1763;0;0;0;197000;1;25873;197000;1;25873;250;24/3/2023;69,967;28%;Baik
Mar-23;BE177;0;0;0;147000;1;5880;147000;1;5880;160;29/3/2023;98,326;61%;Cukup
Mar-23;BE1774;94800;43;4063,6;106100;22;16693;200900;65;20756,6;100;28/3/2023;48,097;48%;Baik
Mar-23;BE1797;11000;2;545;20000;8;3457;31000;10;4002;100;29/3/2023;79,196;79%;Cukup
Mar-23;BE1807;0;0;0;197000;1;29134;197000;1;29134;250;24/3/2023;75,254;30%;Baik
Mar-23;BE1813;0;0;0;33000;1;5650;33000;1;5650;100;20/3/2023;36,291;36%;Baik
Mar-23;BE1817;556150;599;32180,9;101850;175;33655;658000;774;65835,9;160;23/3/2023;102,347;64%;Cukup
Mar-23;BE1822;364100;320;16690,5;124490;136;38747;488590;456;55437,5;100;28/3/2023;48,396;48%;Baik
Mar-23;BE1825;307900;238;14214,3;203900;115;34087;511800;353;48301,3;100;16/3/2023;55,981;56%;Baik
Mar-23;BE1835;298450;143;13810,2;91700;79;27596;390150;222;41406,2;100;29/3/2023;87,238;87%;Kurang
Mar-23;BE1836;0;0;0;53000;1;10011;53000;1;10011;100;24/3/2023;30,901;31%;Baik
Mar-23;BE1846;11000;2;1089,8;63400;6;6427;74400;8;7516,8;200;23/3/2023;94,942;47%;Baik
Mar-23;BE1850;0;0;0;53000;1;2120;53000;1;2120;100;24/3/2023;32,354;32%;Baik
Mar-23;BE1851;443700;52;7074,4;61200;6;5724;504900;58;12798,4;200;29/3/2023;67,71;34%;Baik
Mar-23;BE1863;45300;29;3993,2;92300;8;6314;137600;37;10307,2;100;24/3/2023;40,981;41%;Baik
Mar-23;BE1867;58200;25;985,4;71500;5;17177;129700;30;18162,4;100;23/3/2023;60,912;61%;Cukup
Mar-23;BE1870;7700;1;329,7;97200;7;9233;104900;8;9562,7;100;24/3/2023;30,204;30%;Baik
Mar-23;BE1872;227600;50;11126,8;401300;37;62281;628900;87;73407,8;100;20/3/2023;77,962;78%;Cukup
Mar-23;BE1873;0;0;0;76000;2;5225;76000;2;5225;200;14/3/2023;30,901;15%;Baik
Mar-23;BE1883;0;0;0;197000;1;21670;197000;1;21670;250;27/3/2023;75,2;30%;Baik
Mar-23;BE1884;0;0;0;197000;1;29455;197000;1;29455;250;27/3/2023;68,385;27%;Baik
Mar-23;BE1888;4500;5;163,1;82500;1;3300;87000;6;3463,1;100;23/3/2023;28,746;29%;Baik
Mar-23;BE1895;856900;364;67643,9;8800;2;1088;865700;366;68731,9;160;27/3/2023;54,918;34%;Baik
Mar-23;BE1896;0;0;0;164000;1;6560;164000;1;6560;200;29/3/2023;13,048;7%;Baik
Mar-23;BE1901;0;0;0;105000;1;5173;105000;1;5173;160;24/3/2023;37,318;23%;Baik
Mar-23;BE1904;300200;185;17786,6;46150;18;5374;346350;203;23160,6;100;23/3/2023;47,391;47%;Baik
Mar-23;BE1913;310800;108;24242,2;14500;4;1770;325300;112;26012,2;100;29/3/2023;106,938;107%;Buruk
Mar-23;BE1914;301000;99;19858,3;15600;5;4728;316600;104;24586,3;100;29/3/2023;75,91;76%;Cukup
Mar-23;BE1923;0;0;0;105000;1;19851;105000;1;19851;100;27/3/2023;30,713;31%;Baik
Mar-23;BE1925;82000;91;5905,2;555000;1;22200;637000;92;28105,2;100;27/3/2023;42,066;42%;Baik
Mar-23;BE1937;0;0;0;53000;1;3902;53000;1;3902;100;29/3/2023;26,754;27%;Baik
Mar-23;BE1940;0;0;0;122000;6;10610;122000;6;10610;100;23/3/2023;43,417;43%;Baik
Mar-23;BE1946;131300;169;5367,7;53000;1;2120;184300;170;7487,7;100;29/3/2023;57,889;58%;Baik
Mar-23;BE241;337850;372;18385,8;75050;127;24355;412900;499;42740,8;200;27/3/2023;43,524;22%;Baik
Mar-23;BE277;755150;353;39668,9;233800;145;56785;988950;498;96453,9;250;29/3/2023;151,193;60%;Cukup
Mar-23;BE279;261300;98;15087,8;150800;69;40481;412100;167;55568,8;200;27/3/2023;104,544;52%;Baik
Mar-23;BE280;658200;218;25647,4;682100;88;96524;1340300;306;122171,4;250;29/3/2023;117,658;47%;Baik
Mar-23;BE283;163050;31;4463,5;364150;45;62174;527200;76;66637,5;250;29/3/2023;87,165;35%;Baik
Mar-23;BE284;309550;197;17516,7;127000;137;36454;436550;334;53970,7;200;29/3/2023;89,164;45%;Baik
Mar-23;BE285;634100;255;29500,1;232700;81;46341;866800;336;75841,1;250;29/3/2023;129,187;52%;Baik
Mar-23;BE286;36700;7;813,2;133800;27;16917;170500;34;17730,2;200;29/3/2023;43,594;22%;Baik
Mar-23;BE287;0;0;0;82500;1;12948;82500;1;12948;100;23/3/2023;36,232;36%;Baik
Mar-23;BE289;16500;3;1648,3;175900;12;24989;192400;15;26637,3;200;24/3/2023;60,522;30%;Baik
Mar-23;BE290;0;0;0;82500;1;17958;82500;1;17958;100;24/3/2023;32,751;33%;Baik
Mar-23;BE291;0;0;0;105000;1;10990;105000;1;10990;100;24/3/2023;36,704;37%;Baik
Mar-23;BE292;30500;11;1743,2;276400;30;61552;306900;41;63295,2;250;24/3/2023;96,374;39%;Baik
Mar-23;BE293;53400;16;4229,2;127300;19;9010;180700;35;13239,2;200;24/3/2023;130,899;65%;Cukup
Mar-23;BE294;0;0;0;33000;1;1741;33000;1;1741;50;24/3/2023;30,116;60%;Cukup
Mar-23;BE357;0;0;0;53000;1;9430;53000;1;9430;100;24/3/2023;38,335;38%;Baik
Mar-23;BE370;517300;577;32625,4;181930;205;44305;699230;782;76930,4;200;27/3/2023;157,417;79%;Cukup
Mar-23;BE371;0;0;0;197000;1;7880;197000;1;7880;200;24/3/2023;27,485;14%;Baik
Mar-23;BE372;0;0;0;197000;1;7880;197000;1;7880;200;24/3/2023;21,853;11%;Baik
Mar-23;BE373;0;0;0;197000;1;22744;197000;1;22744;200;24/3/2023;22,157;11%;Baik
Mar-23;BE375;18400;15;1524,4;98200;9;19711;116600;24;21235,4;100;24/3/2023;18,172;18%;Baik
Mar-23;BE376;253800;124;14366,7;174310;114;40378;428110;238;54744,7;160;27/3/2023;91,954;57%;Baik
Mar-23;BE377;278400;124;16865,2;206600;193;60230;485000;317;77095,2;200;27/3/2023;121,686;61%;Cukup
Mar-23;BE378;441350;454;25672,7;428000;270;84632;869350;724;110304,7;250;24/3/2023;181,716;73%;Cukup
Mar-23;BE379;423950;518;25535,6;269900;123;38728;693850;641;64263,6;160;27/3/2023;125,614;79%;Cukup
Mar-23;BE380;359400;123;5956,1;491900;53;67833;851300;176;73789,1;100;24/3/2023;65,767;66%;Cukup
Mar-23;BE381;250000;35;6392;428500;48;57751;678500;83;64143;250;24/3/2023;130,431;52%;Baik
Mar-23;BE410;512750;284;28000,1;165300;114;40144;678050;398;68144,1;200;24/3/2023;128,24;64%;Cukup
Mar-23;BE411;310050;152;15169,2;198550;112;52515;508600;264;67684,2;160;24/3/2023;103,377;65%;Cukup
Mar-23;BE412;0;0;0;23000;1;1091;23000;1;1091;50;24/3/2023;30,668;61%;Cukup
Mar-23;BE413;642700;674;38908,9;44500;121;24802;687200;795;63710,9;160;24/3/2023;68,116;43%;Baik
Mar-23;BE455;0;0;0;1300;1;102;1300;1;102;200;23/3/2023;121,764;61%;Cukup
Mar-23;BE495;0;0;0;66000;1;4740;66000;1;4740;100;17/3/2023;15,183;15%;Baik
Mar-23;BE496;0;0;0;105000;1;23776;105000;1;23776;160;23/3/2023;51,39;32%;Baik
Mar-23;BE499;0;0;0;197000;1;27388;197000;1;27388;200;27/3/2023;69,03;35%;Baik
Mar-23;BE520;599500;938;41724,5;117400;282;49993;716900;1220;91717,5;250;27/3/2023;132,876;53%;Baik
Mar-23;BE521;0;0;0;105000;1;3462;105000;1;3462;160;24/3/2023;12,249;8%;Baik
Mar-23;BE522;45100;10;264,1;180700;16;21430;225800;26;21694,1;250;24/3/2023;16,34;7%;Baik
Mar-23;BE523;63800;9;4859,7;289900;45;48897;353700;54;53756,7;200;24/3/2023;141,096;71%;Cukup
Mar-23;BE524;96300;30;6489;155400;68;28727;251700;98;35216;160;27/3/2023;80,29;50%;Baik
Mar-23;BE525;261600;56;22965,6;198300;93;55051;459900;149;78016,6;200;27/3/2023;96,155;48%;Baik
Mar-23;BE526;257600;68;18550,9;93700;46;21716;351300;114;40266,9;160;27/3/2023;60,668;38%;Baik
Mar-23;BE527;182100;76;10261,6;96000;81;34646;278100;157;44907,6;160;27/3/2023;67,424;42%;Baik
Mar-23;BE528;546400;130;32947,3;193060;106;43681;739460;236;76628,3;200;27/3/2023;115,285;58%;Baik
Mar-23;BE529;135100;39;10683,9;99400;78;25757;234500;117;36440,9;160;27/3/2023;74,072;46%;Baik
Mar-23;BE530;348400;104;17608,9;179900;89;39936;528300;193;57544,9;200;27/3/2023;113,082;57%;Baik
Mar-23;BE531;92500;54;5529,1;138700;30;15576;231200;84;21105,1;200;27/3/2023;39,092;20%;Baik
Mar-23;BE532;219700;112;13395,7;112600;169;51736;332300;281;65131,7;200;27/3/2023;121,208;61%;Cukup
Mar-23;BE534;175000;59;8900,8;43200;69;23303;218200;128;32203,8;160;29/3/2023;58,969;37%;Baik
Mar-23;BE535;122600;80;9440,2;29800;63;18973;152400;143;28413,2;100;29/3/2023;58,44;58%;Baik
Mar-23;BE536;66200;46;4296,5;28800;44;9854;95000;90;14150,5;100;29/3/2023;39,076;39%;Baik
Mar-23;BE537;456000;188;29508,9;76100;134;41792;532100;322;71300,9;200;28/3/2023;103,974;52%;Baik
Mar-23;BE538;131800;49;9829,7;15800;35;8868;147600;84;18697,7;100;28/3/2023;33,384;33%;Baik
Mar-23;BE539;261200;105;18040,1;151100;112;43292;412300;217;61332,1;200;28/3/2023;128,325;64%;Cukup
Mar-23;BE540;244200;85;10253,3;83300;87;33269;327500;172;43522,3;100;28/3/2023;54,515;55%;Baik
Mar-23;BE541;185200;62;13902,5;64600;66;26354;249800;128;40256,5;100;29/3/2023;71,299;71%;Cukup
Mar-23;BE542;196200;45;9680,6;41700;48;20607;237900;93;30287,6;100;29/3/2023;49,667;50%;Baik
Mar-23;BE543;291400;106;17142,8;66300;60;22344;357700;166;39486,8;160;29/3/2023;65,584;41%;Baik
Mar-23;BE546;520300;275;27737,1;130750;198;60908;651050;473;88645,1;250;27/3/2023;126,937;51%;Baik
Mar-23;BE547;371400;143;19623,5;176400;115;64210;547800;258;83833,5;200;27/3/2023;124,037;62%;Cukup
Mar-23;BE548;233500;83;14447,3;156420;69;36943;389920;152;51390,3;160;27/3/2023;51,323;32%;Baik
Mar-23;BE549;287300;112;10824,7;121040;92;49963;408340;204;60787,7;160;27/3/2023;83,963;52%;Baik
Mar-23;BE550;436600;198;18133,2;88850;178;45482;525450;376;63615,2;200;27/3/2023;89,169;45%;Baik
Mar-23;BE552;221000;66;8080,5;142700;81;30884;363700;147;38964,5;160;24/3/2023;63,452;40%;Baik
Mar-23;BE553;210100;85;9335,7;77300;130;45304;287400;215;54639,7;200;24/3/2023;81,175;41%;Baik
Mar-23;BE554;346700;162;16464,2;64350;127;32038;411050;289;48502,2;160;24/3/2023;80,204;50%;Baik
Mar-23;BE555;456900;168;18805,4;220850;70;26298;677750;238;45103,4;100;27/3/2023;63,939;64%;Cukup
Mar-23;BE588;285000;102;9656,2;424600;39;79809;709600;141;89465,2;200;28/3/2023;108,857;54%;Baik
Mar-23;BE589;443900;194;20622,7;106800;137;45653;550700;331;66275,7;250;28/3/2023;122,34;49%;Baik
Mar-23;BE622;0;0;0;197000;1;60842;197000;1;60842;250;17/3/2023;131,34;53%;Baik
Mar-23;BE623;0;0;0;82500;1;11474;82500;1;11474;100;17/3/2023;21,843;22%;Baik
Mar-23;BE632;159400;36;12025,1;235100;78;54945;394500;114;66970,1;200;27/3/2023;117,773;59%;Baik
Mar-23;BE633;12700;4;1266,5;97400;15;16994;110100;19;18260,5;100;27/3/2023;51,965;52%;Baik
Mar-23;BE634;343100;85;17703,2;240850;92;48055;583950;177;65758,2;200;27/3/2023;96,779;48%;Baik
Mar-23;BE639;5200;4;384,6;41500;1;3997;46700;5;4381,6;50;27/3/2023;23,198;46%;Baik
Mar-23;BE640;18500;4;1108,3;215900;11;29385;234400;15;30493,3;200;27/3/2023;59,713;30%;Baik
Mar-23;BE641;79500;15;1613,9;177100;17;14857;256600;32;16470,9;100;27/3/2023;91,991;92%;Kurang
Mar-23;BE642;0;0;0;105000;1;11765;105000;1;11765;160;27/3/2023;38,983;24%;Baik
Mar-23;BE695;345000;296;16171,4;110800;167;38398;455800;463;54569,4;160;16/3/2023;79,9;50%;Baik
Mar-23;BE696;407200;435;25974,2;125050;222;42680;532250;657;68654,2;160;16/3/2023;113,854;71%;Cukup
Mar-23;BE697;259700;214;11258,3;89450;204;40937;349150;418;52195,3;160;16/3/2023;82,373;51%;Baik
Mar-23;BE699;426700;471;24683,9;113100;266;45041;539800;737;69724,9;160;14/3/2023;171,691;107%;Buruk
Mar-23;BE700;643000;664;35059;494750;261;93082;1137750;925;128141;160;14/3/2023;103,953;65%;Cukup
Mar-23;BE706;300300;147;17968,8;110000;186;49517;410300;333;67485,8;200;28/3/2023;115,93;58%;Baik
Mar-23;BE707;404000;147;15231,2;43700;86;26189;447700;233;41420,2;200;20/3/2023;108,26;54%;Baik
Mar-23;BE708;534350;469;28227,2;270100;221;73477;804450;690;101704,2;160;29/3/2023;121,797;76%;Cukup
Mar-23;BE709;192500;101;7293,8;33200;37;6951;225700;138;14244,8;160;29/3/2023;105,706;66%;Cukup
Mar-23;BE710;570600;617;37526,4;152100;293;49313;722700;910;86839,4;250;29/3/2023;139,413;56%;Baik
Mar-23;BE711;212500;120;12197,6;163900;153;57486;376400;273;69683,6;200;29/3/2023;49,55;25%;Baik
Mar-23;BE712;559400;187;32995,5;177950;126;54895;737350;313;87890,5;200;29/3/2023;136,088;68%;Cukup
Mar-23;BE713;512700;212;32426,9;81750;99;43664;594450;311;76090,9;200;29/3/2023;145,153;73%;Cukup
Mar-23;BE714;340400;175;17148,3;296600;181;86397;637000;356;103545,3;200;29/3/2023;148,844;74%;Cukup
Mar-23;BE715;265600;136;19079,4;60000;156;36117;325600;292;55196,4;160;29/3/2023;100,239;63%;Cukup
Mar-23;BE716;269900;123;21204,4;107800;208;52941;377700;331;74145,4;250;29/3/2023;133,483;53%;Baik
Mar-23;BE787;337600;376;20163,2;218100;180;40929;555700;556;61092,2;160;27/3/2023;121,695;76%;Cukup
Mar-23;BE803;1168800;335;30487,7;213600;44;32236;1382400;379;62723,7;200;29/3/2023;89,55;45%;Baik
Mar-23;BE804;0;0;0;197000;1;24295;197000;1;24295;200;27/3/2023;76,228;38%;Baik
Mar-23;BE806;383700;299;23200,6;1188550;82;148070;1572250;381;171270,6;160;24/3/2023;49,07;31%;Baik
Mar-23;BE807;450850;375;24509,7;135800;150;44016;586650;525;68525,7;160;28/3/2023;101,764;64%;Cukup
Mar-23;BE826;219200;87;12968,5;53900;35;12235;273100;122;25203,5;100;20/3/2023;61,404;61%;Cukup
Mar-23;BE827;357000;123;26370,8;84700;98;40272;441700;221;66642,8;160;20/3/2023;122,11;76%;Cukup
Mar-23;BE828;305700;97;17462,7;70800;104;33668;376500;201;51130,7;200;20/3/2023;128,312;64%;Cukup
