BLTH;NAMA GARDU;prabayar;;;paska;;;total;;;kapasitas;tanggal pengukuran;beban;% pembebanan;Kategori HI
;;daya;transaksi;kwh;daya;plg;kwh;daya tersambung total (kVa);Jumlah Pelanggan tersambung total;kWh Jual;;;;;
;;;;;;;;;;;;;;;
Jan-23;BB281;0;0;0;33000;1;1132;;1;1132;50;27/1/2023;40,937;82%;Kurang
Jan-23;BB282;0;0;0;66000;1;4427;;1;4427;100;31/1/2023;34,322;34%;Baik
Jan-23;BB283;0;0;0;197000;1;17046;;1;17046;200;27/1/2023;56,557;28%;Baik
Jan-23;BB288;385000;274;19296,3;347400;67;63005;;341;82301,3;160;12/1/2023;86,296;54%;Baik
Jan-23;BB306;0;0;0;41500;1;1660;;1;1660;100;31/1/2023;17,603;18%;Baik
Jan-23;BB310;397600;105;12418,8;133700;133;53138;;238;65556,8;100;14/1/2023;55,66;56%;Baik
Jan-23;BB317;7700;1;494,5;138800;21;27790;;22;28284,5;160;4/1/2023;46,633;29%;Baik
Jan-23;BB318;13700;5;1151,5;109500;20;27941;;25;29092,5;200;4/1/2023;61,256;31%;Baik
Jan-23;BB319;0;0;0;145800;13;16862;;13;16862;200;4/1/2023;60,176;30%;Baik
Jan-23;BB328;0;0;0;53000;1;2120;;1;2120;100;27/1/2023;27,927;28%;Baik
Jan-23;BB331;241000;221;11166,6;85050;210;46714;;431;57880,6;200;31/1/2023;67,591;34%;Baik
Jan-23;BB357;74800;16;5847;89700;24;24234;;40;30081;100;3/1/2023;19,073;19%;Baik
Jan-23;BB358;50600;9;2181,8;135900;28;23217;;37;25398,8;100;3/1/2023;41,875;42%;Baik
Jan-23;BB359;202200;29;18557;445400;101;111755;;130;130312;200;3/1/2023;37,232;19%;Baik
Jan-23;BB369;0;0;0;7700;1;1597;;1;1597;160;3/1/2023;25,141;16%;Baik
Jan-23;BB371;30800;5;2351,3;217600;32;28528;;37;30879,3;160;3/1/2023;50,531;32%;Baik
Jan-23;BB376;123800;18;7761,3;120100;22;19258;;40;27019,3;200;15/1/2023;58,661;29%;Baik
Jan-23;BB380;290400;121;10934,6;197750;66;37423;;187;48357,6;160;14/1/2023;91,08;57%;Baik
Jan-23;BB385;0;0;0;105000;1;4200;;1;4200;160;15/1/2023;14,549;9%;Baik
Jan-23;BB398;30900;7;3136,3;183000;23;30897;;30;34033,3;100;7/1/2023;106,102;106%;Buruk
Jan-23;BB399;19800;6;1536,1;229200;59;74096;;65;75632,1;160;7/1/2023;131,86;82%;Kurang
Jan-23;BB406;44000;6;2658,2;278900;34;59492;;40;62150,2;160;7/1/2023;114,973;72%;Cukup
Jan-23;BB407;21600;3;1337,1;123400;21;34502;;24;35839,1;100;7/1/2023;122,144;122%;Buruk
Jan-23;BB408;23800;2;593,4;130200;23;30293;;25;30886,4;160;7/1/2023;128,385;80%;Kurang
Jan-23;BB412;89100;18;5847,4;252500;20;31323;;38;37170,4;160;10/1/2023;111,733;70%;Cukup
Jan-23;BB425;144350;97;6579,3;71300;34;19244;;131;25823,3;160;31/1/2023;64,301;40%;Baik
Jan-23;BB433;0;0;0;197000;1;9137;;1;9137;200;27/1/2023;31,734;16%;Baik
Jan-23;BB436;219000;37;12763,5;338000;78;96277;;115;109040,5;160;12/1/2023;104,567;65%;Cukup
Jan-23;BB440;0;0;0;197000;1;77632;;1;77632;200;3/1/2023;22,063;11%;Baik
Jan-23;BB453;294200;235;14871,2;95500;121;34913;;356;49784,2;100;5/1/2023;101,147;101%;Buruk
Jan-23;BB457;25700;20;1098,5;20350;35;3609;;55;4707,5;100;12/1/2023;9,991;10%;Baik
Jan-23;BB472;181800;27;11545,6;111000;15;20371;;42;31916,6;160;12/1/2023;81,883;51%;Baik
Jan-23;BB477;273300;149;17425,4;69900;80;28435;;229;45860,4;100;7/1/2023;36,8;37%;Baik
Jan-23;BB478;2278400;1327;212023;227500;77;38174;;1404;250197;160;7/1/2023;38,41;24%;Baik
Jan-23;BB479;1800;2;137;66000;1;2640;;3;2777;100;3/1/2023;5,868;6%;Baik
Jan-23;BB485;95850;45;2459,8;91200;41;20611;;86;23070,8;50;31/1/2023;59,376;119%;Buruk
Jan-23;BB500;52300;25;6478,4;12700;12;3063;;37;9541,4;25;7/1/2023;27,6;110%;Buruk
Jan-23;BB501;160000;28;8504,3;205200;37;26454;;65;34958,3;160;6/1/2023;29,9;19%;Baik
Jan-23;BB502;0;0;0;7700;1;308;;1;308;200;6/1/2023;31,51;16%;Baik
Jan-23;BB503;309600;63;15841,6;287700;76;39205;;139;55046,6;160;6/1/2023;8,74;5%;Baik
